id, firstName, lastName, email
19039800, Jose, Martinez, faketest@psudomail.com
10507720, Mark, Barnabas, faketest@psudomail.com
13009691, Maria, Joel, faketest@psudomail.com
12567981, Beto, O'Roreck, faketest@psudomail.com
28498502, Elisabeth, Warren, faketest@psudomail.com
37985903, Pete, Buttigieg, faketest@psudomail.com
89802342, Joe, Biden, faketest@psudomail.com
28456702, Michael, Bloomberg, faketest@psudomail.com
58980345, Michael, Bennet, faketest@psudomail.com
89034569, Cory, Booker, faketest@psudomail.com
89056789, Julian, Castro, faketest@psudomail.com
58960321, John, Delanie, faketest@psudomail.com
57894231, Tulsi, Gabbard, faketest@psudomail.com
79084123, Andrew, Yang, faketest@psudomail.com
85092135, Marianne, Wilson, faketest@psudomail.com
95803241, Tom, Stayer, faketest@psudomail.com
89034764, Deval, Patrick, faketest@psudomail.com
12353257, Amy, Klobuchar, faketest@psudomail.com
54366326, Richard, Ojeda, faketest@psudomail.com

