id, firstName, lastName, email
19039800, Jose, Martinez, eliduberry@gmail.com
10507720, Mark, Barnabas, eliduberry@gmail.com
13009691, Maria, Joel, eliduberry@gmail.com
12567981, Beto, O'Roreck, eliduberry@gmail.com
28498502, Elisabeth, Warren, eliduberry@gmail.com
37985903, Pete, Buttigieg, eliduberry@gmail.com
89802342, Joe, Biden, eliduberry@gmail.com
28456702, Michael, Bloomberg, eliduberry@gmail.com
58980345, Michael, Bennet, eliduberry@gmail.com
89034569, Cory, Booker, eliduberry@gmail.com
89056789, Julian, Castro, eliduberry@gmail.com
58960321, John, Delanie, eliduberry@gmail.com
57894231, Tulsi, Gabbard, eliduberry@gmail.com
79084123, Andrew, Yang, eliduberry@gmail.com
85092135, Marianne, Wilson, eliduberry@gmail.com
95803241, Tom, Stayer, eliduberry@gmail.com
89034764, Deval, Patrick, eliduberry@gmail.com
12353257, Amy, Klobuchar, eliduberry@gmail.com
54366326, Richard, Ojeda, eliduberry@gmail.com

